
English words/sentences,Tamil words/sentences
Hello,வணக்கம்
How are you?,எப்படி இருக்கிறீர்கள்?
Good morning,காலை வணக்கம்
Good night,இரவு வணக்கம்
Thank you,நன்றி
Yes,ஆம்
No,இல்லை
Please,தயவு செய்து
Sorry,மன்னிக்கவும்
Excuse me,மன்னிக்கவும்
Goodbye,பிரியாவிடை
I love you,நான் உன்னை காதலிக்கிறேன்
Where are you from?,நீங்கள் எங்கு இருந்து வந்தீர்கள்?
What is your name?,உங்கள் பெயர் என்ன?
I don't understand,நான் புரிந்துகொள்கிறேன்
Can you help me?,நீங்கள் எனக்கு உதவ முடியுமா?
How much does it cost?,இதன் விலை எவ்வளவு?
I would like this,நான் இதை விரும்புகிறேன்
See you later,பிறகு சந்திப்போம்
Happy birthday,பிறந்த நாள் வாழ்த்து
Good afternoon,மாலை வணக்கம்
