
English words/sentences,French words/sentences
Hello,Bonjour
How are you?,Comment ça va?
Good morning,Bonjour
Good night,Bonne nuit
Thank you,Merci
Yes,Oui
No,Non
Please,S'il vous plaît
Sorry,Désolé
Excuse me,Excusez-moi
Goodbye,Au revoir
I love you,Je t'aime
Where are you from?,D'où viens-tu ?
What is your name?,Comment tu t'appelles ?
I don't understand,Je ne comprends pas
Can you help me?,Pouvez-vous m'aider ?
How much does it cost?,Combien ça coûte ?
I would like this,Je voudrais ceci
See you later,À plus tard
Happy birthday,Joyeux anniversaire
Good afternoon,Bon après-midi
